"name"	"country.etc"	"pop"	"lat"	"long"	"capital"
"Abbotsford BC"	"BC"	157795	49.06	-122.3	0
"Acton ON"	"ON"	8308	43.63	-80.03	0
"Acton Vale QC"	"QC"	5153	45.63	-72.57	0
"Airdrie AB"	"AB"	25863	51.3	-114.02	0
"Aklavik NT"	"NT"	643	68.22	-135	0
"Albanel QC"	"QC"	1090	48.87	-72.42	0
"Alberton PE"	"PE"	1154	46.8	-64.07	0
"Aldergrove BC"	"BC"	11972	49.06	-122.5	0
"Alencon QC"	"QC"	1427	46.07	-73.13	0
"Alexandria ON"	"ON"	3604	45.3	-74.63	0
"Alfred QC"	"QC"	1442	45.55	-74.87	0
"Alliston ON"	"ON"	10353	44.15	-79.87	0
"Alma QC"	"QC"	29880	48.55	-71.66	0
"Almonte ON"	"ON"	4984	45.22	-76.2	0
"Altona MB"	"MB"	3647	49.1	-97.57	0
"Amherst NS"	"NS"	9297	45.83	-64.21	0
"Amherstburg ON"	"ON"	11605	42.1	-83.1	0
"Amigo Beach ON"	"ON"	1145	44.77	-79.34	0
"Amos QC"	"QC"	10472	48.57	-78.14	0
"Amqui QC"	"QC"	5135	48.47	-67.43	0
"Angus-Borden ON"	"ON"	10399	44.32	-79.88	0
"Antigonish NS"	"NS"	4957	45.62	-61.97	0
"Armstrong BC"	"BC"	4278	50.45	-119.18	0
"Arnold's Cove NL"	"NL"	914	47.77	-53.99	0
"Arnprior ON"	"ON"	9729	45.43	-76.37	0
"Arthur ON"	"ON"	2443	43.83	-80.53	0
"Asbestos QC"	"QC"	7284	45.78	-71.95	0
"Ashcroft BC"	"BC"	1797	50.72	-121.27	0
"Assiniboia SK"	"SK"	2282	49.62	-105.98	0
"Athabasca AB"	"AB"	2569	54.72	-113.27	0
"Atikokan ON"	"ON"	3808	48.75	-91.62	0
"Attawapiskat ON"	"ON"	1383	52.92	-82.43	0
"Aylmer ON"	"ON"	7623	42.78	-80.98	0
"Ayr ON"	"ON"	3889	43.28	-80.45	0
"Bagotville QC"	"QC"	1085	48.35	-70.88	0
"Baie-Comeau QC"	"QC"	10472	49.22	-68.16	0
"Baie-Saint-Paul QC"	"QC"	4528	47.43	-70.5	0
"Banff AB"	"AB"	7590	51.17	-115.57	0
"Barraute QC"	"QC"	1184	48.43	-77.63	0
"Barrhead AB"	"AB"	4482	54.12	-114.4	0
"Barrie ON"	"ON"	198492	44.38	-79.68	0
"Barry's Bay ON"	"ON"	1347	45.48	-77.68	0
"Bassano AB"	"AB"	1404	50.78	-112.47	0
"Bathurst NB"	"NB"	18683	47.62	-65.65	0
"Bay Roberts NL"	"NL"	14975	47.59	-53.29	0
"Beamsville ON"	"ON"	9677	43.17	-79.47	0
"Beauceville QC"	"QC"	4496	46.2	-70.77	0
"Beaumont AB"	"AB"	7453	53.35	-113.42	0
"Beaupre QC"	"QC"	5306	47.05	-70.88	0
"Beausejour MB"	"MB"	2913	50.07	-96.52	0
"Beaverlodge AB"	"AB"	2245	55.2	-119.45	0
"Beaverton ON"	"ON"	3279	44.43	-79.15	0
"Bedford QC"	"QC"	2720	45.12	-72.98	0
"Beeton ON"	"ON"	4088	44.11	-79.79	0
"Belleville ON"	"ON"	66198	44.17	-77.38	0
"Belmont ON"	"ON"	1946	42.88	-81.06	0
"Beloeil QC"	"QC"	43168	45.55	-73.23	0
"Bernierville QC"	"QC"	1386	46.1	-71.54	0
"Berthierville QC"	"QC"	4427	46.08	-73.17	0
"Berwick NS"	"NS"	2250	45.03	-64.73	0
"Betsiamites QC"	"QC"	1658	48.95	-68.65	0
"Biggar SK"	"SK"	2034	52.05	-107.98	0
"Bishop's Falls NL"	"NL"	3219	49.02	-55.52	0
"Black Diamond AB"	"AB"	3706	50.7	-114.23	0
"Blackfalds AB"	"AB"	3236	52.38	-113.8	0
"Blairmore AB"	"AB"	2120	49.6	-114.43	0
"Blenheim ON"	"ON"	5129	42.33	-82	0
"Blind Bay BC"	"BC"	1429	50.85	-119.35	0
"Blind River ON"	"ON"	3004	46.18	-82.95	0
"Bobcaygeon ON"	"ON"	3053	44.53	-78.55	0
"Boissevain MB"	"MB"	1571	49.23	-100.05	0
"Bolton ON"	"ON"	21985	43.88	-79.73	0
"Bon Accord AB"	"AB"	1630	53.83	-113.42	0
"Bonaventure QC"	"QC"	1485	48.05	-65.47	0
"Bonavista NL"	"NL"	3580	48.65	-53.13	0
"Bonnyville AB"	"AB"	6073	54.27	-110.75	0
"Botwood NL"	"NL"	2876	49.15	-55.37	0
"Bouctouche NB"	"NB"	1880	46.48	-64.72	0
"Bourget ON"	"ON"	1075	45.44	-75.16	0
"Bow Island AB"	"AB"	1813	49.87	-111.37	0
"Bowmanville-Newcastle ON"	"ON"	34825	43.9	-78.68	0
"Bracebridge ON"	"ON"	8342	45.03	-79.3	0
"Bradford ON"	"ON"	19278	44.12	-79.56	0
"Brandon MB"	"MB"	25134	49.84	-99.96	0
"Brantford ON"	"ON"	87972	43.15	-80.26	0
"Bridgenorth-Chemong Park Area ON"	"ON"	2438	44.5	-78.33	0
"Bridgetown NS"	"NS"	1053	44.85	-65.15	0
"Bridgewater NS"	"NS"	8147	44.38	-64.52	0
"Brighton ON"	"ON"	5218	44.03	-77.73	0
"Brockville ON"	"ON"	24083	44.61	-75.7	0
"Bromont QC"	"QC"	1046	45.28	-72.65	0
"Brooklin ON"	"ON"	6192	43.95	-78.96	0
"Brooks AB"	"AB"	13045	50.57	-111.91	0
"Brookside NS"	"NS"	1227	44.72	-63.38	0
"Brownsburg QC"	"QC"	2606	45.68	-74.4	0
"Brussels ON"	"ON"	1223	43.75	-81.25	0
"Buckingham QC"	"QC"	21448	45.58	-75.42	0
"Burford ON"	"ON"	1969	43.11	-80.42	0
"Burgeo NL"	"NL"	1591	47.6	-57.63	0
"Burns Lake BC"	"BC"	2637	54.22	-125.77	0
"Cabano QC"	"QC"	2719	47.68	-68.88	0
"Cache Creek BC"	"BC"	1061	50.8	-121.32	0
"Caledon East ON"	"ON"	2112	43.87	-79.87	0
"Caledon ON"	"ON"	1766	43.81	-79.83	0
"Caledonia ON"	"ON"	9180	43.07	-79.95	0
"Calgary AB"	"AB"	991432	51.05	-114.06	0
"Calmar AB"	"AB"	2023	53.25	-113.78	0
"Campbell River BC"	"BC"	33972	49.99	-125.23	0
"Campbellford ON"	"ON"	3931	44.3	-77.8	0
"Campbellton NB"	"NB"	11967	48	-66.68	0
"Camrose AB"	"AB"	15889	53.02	-112.84	0
"Canmore AB"	"AB"	12834	51.09	-115.35	0
"Cannington ON"	"ON"	2147	44.35	-79.03	0
"Canora SK"	"SK"	2022	51.63	-102.43	0
"Cap-aux-Meules QC"	"QC"	1692	47.38	-61.87	0
"Cap-Chat QC"	"QC"	1471	49.08	-66.68	0
"Capreol ON"	"ON"	3713	46.7	-80.92	0
"Caraquet NB"	"NB"	4583	47.78	-64.95	0
"Carberry MB"	"MB"	1590	49.87	-99.35	0
"Carbonear NL"	"NL"	6665	47.75	-53.24	0
"Cardinal ON"	"ON"	1860	44.78	-75.37	0
"Cardston AB"	"AB"	3697	49.2	-113.32	0
"Carleton Centre QC"	"QC"	1098	48.1	-66.1	0
"Carleton Place ON"	"ON"	9867	45.13	-76.13	0
"Carlisle ON"	"ON"	2332	43.15	-81.54	0
"Carlyle SK"	"SK"	1158	49.63	-102.27	0
"Carman MB"	"MB"	2975	49.5	-98	0
"Carnduff SK"	"SK"	935	49.17	-101.78	0
"Caronport SK"	"SK"	956	50.45	-105.82	0
"Carrot SK"	"SK"	935	53.28	-103.58	0
"Carstairs AB"	"AB"	2398	51.53	-114.1	0
"Casselman ON"	"ON"	3113	45.3	-75.08	0
"Castlegar BC"	"BC"	8722	49.32	-117.67	0
"Catalina NL"	"NL"	1322	48.52	-53.08	0
"Causapscal QC"	"QC"	2040	48.35	-67.22	0
"Cayuga ON"	"ON"	1757	42.93	-79.95	0
"Central Okanagan BC"	"BC"	37041	50.03	-119.87	0
"Chandler QC"	"QC"	2873	48.33	-64.67	0
"Channel-Port aux Basques NL"	"NL"	4123	47.58	-59.17	0
"Chapais QC"	"QC"	1831	49.78	-74.87	0
"Chapleau ON"	"ON"	3029	47.83	-83.4	0
"Charlottetown PE"	"PE"	43540	46.24	-63.14	2
"Chase BC"	"BC"	2473	50.82	-119.68	0
"Chateau Lake Louise AB"	"AB"	1107	51.43	-116.18	0
"Chateau-Richer MB"	"MB"	1961	49.65	-96.45	0
"Chatham ON"	"ON"	44598	42.41	-82.19	0
"Chatham-Douglastown NB"	"NB"	13235	47.03	-65.46	0
"Chemainus BC"	"BC"	2720	48.92	-123.7	0
"Chesley ON"	"ON"	2011	44.3	-81.1	0
"Chester NS"	"NS"	1517	44.53	-64.23	0
"Chestermere AB"	"AB"	3632	51.06	-113.78	0
"Chesterville ON"	"ON"	1602	45.1	-75.22	0
"Chetwynd BC"	"BC"	2589	55.7	-121.62	0
"Chibougamou QC"	"QC"	7638	49.87	-74.35	0
"Chicoutimi-Jonquiere QC"	"QC"	110582	48.43	-71.08	0
"Chilliwack BC"	"BC"	51980	49.17	-121.96	0
"Chisasibi QC"	"QC"	3536	53.79	-78.94	0
"Chute-aux-Outardes BC"	"BC"	2007	49.12	-68.38	0
"Clairmont AB"	"AB"	1500	55.27	-118.8	0
"Clarenville-Shoal Harbour NL"	"NL"	3402	48.15	-53.97	0
"Claresholm AB"	"AB"	3853	50.03	-113.58	0
"Clermont QC"	"QC"	2922	47.68	-70.23	0
"Clinton ON"	"ON"	3334	43.6	-81.53	0
"Clyde River NU"	"NU"	1054	70.46	-68.63	0
"Coaldale AB"	"AB"	6391	49.73	-112.62	0
"Coalhurst AB"	"AB"	1570	49.74	-112.92	0
"Coaticook QC"	"QC"	7045	45.13	-71.8	0
"Cobourg ON"	"ON"	18316	43.96	-78.17	0
"Cochrane AB"	"AB"	17798	51.19	-114.47	0
"Cochrane ON"	"ON"	4463	49.07	-81.02	0
"Colborne ON"	"ON"	2182	44.02	-77.88	0
"Colchester ON"	"ON"	2336	41.98	-82.93	0
"Coleraine QC"	"QC"	1324	45.96	-71.38	0
"Collingwood ON"	"ON"	15829	44.49	-80.21	0
"Conception Bay South NL"	"NL"	16895	47.5	-53	0
"Constance Bay ON"	"ON"	2489	45.25	-75.5	0
"Contrecoeur QC"	"QC"	3440	45.89	-73.21	0
"Cookshire QC"	"QC"	1574	45.42	-71.62	0
"Cookstown ON"	"ON"	1550	44.21	-79.65	0
"Corner Brook NL"	"NL"	18387	48.96	-57.96	0
"Cornwall ON"	"ON"	48894	45.03	-74.74	0
"Cornwall PE"	"PE"	2287	46.23	-63.22	0
"Courtenay BC"	"BC"	32817	49.69	-125	0
"Cowansville QC"	"QC"	10766	45.21	-72.75	0
"Cowichan Valley BC"	"BC"	3179	48.73	-123.62	0
"Crabtree QC"	"QC"	2256	45.97	-73.47	0
"Cranbrook BC"	"BC"	18624	49.51	-115.77	0
"Creemore ON"	"ON"	1409	44.32	-80.1	0
"Creston BC"	"BC"	4820	49.1	-116.52	0
"Crossfield AB"	"AB"	2541	51.43	-114.03	0
"Crystal Beach ON"	"ON"	7152	45.05	-79.4	0
"Cultus Lake BC"	"BC"	1262	49.05	-121.96	0
"Cumberland BC"	"BC"	2632	49.62	-125.02	0
"Dalhousie NB"	"NB"	4104	48.07	-66.37	0
"Dallas BC"	"BC"	4366	50.66	-120.46	0
"Dalmeny SK"	"SK"	1479	52.33	-106.78	0
"Danville QC"	"QC"	1768	45.78	-72.02	0
"Dauphin MB"	"MB"	8497	51.15	-100.05	0
"Daveluyville QC"	"QC"	1323	46.21	-72.15	0
"Davidson SK"	"SK"	951	51.27	-105.97	0
"Dawson Creek BC"	"BC"	10810	55.76	-120.24	0
"Deep River QC"	"QC"	4350	46.1	-77.5	0
"Deer Lake NL"	"NL"	4072	49.18	-57.43	0
"Degelis QC"	"QC"	2271	47.56	-68.65	0
"Delhi ON"	"ON"	4281	42.85	-80.5	0
"Deloraine MB"	"MB"	1078	49.18	-100.5	0
"Desbiens QC"	"QC"	1151	48.42	-71.95	0
