"fips"	"polyname"
1001	"alabama,autauga"
1003	"alabama,baldwin"
1005	"alabama,barbour"
1007	"alabama,bibb"
1009	"alabama,blount"
1011	"alabama,bullock"
1013	"alabama,butler"
1015	"alabama,calhoun"
1017	"alabama,chambers"
1019	"alabama,cherokee"
1021	"alabama,chilton"
1023	"alabama,choctaw"
1025	"alabama,clarke"
1027	"alabama,clay"
1029	"alabama,cleburne"
1031	"alabama,coffee"
1033	"alabama,colbert"
1035	"alabama,conecuh"
1037	"alabama,coosa"
1039	"alabama,covington"
1041	"alabama,crenshaw"
1043	"alabama,cullman"
1045	"alabama,dale"
1047	"alabama,dallas"
1049	"alabama,de kalb"
1051	"alabama,elmore"
1053	"alabama,escambia"
1055	"alabama,etowah"
1057	"alabama,fayette"
1059	"alabama,franklin"
1061	"alabama,geneva"
1063	"alabama,greene"
1065	"alabama,hale"
1067	"alabama,henry"
1069	"alabama,houston"
1071	"alabama,jackson"
1073	"alabama,jefferson"
1075	"alabama,lamar"
1077	"alabama,lauderdale"
1079	"alabama,lawrence"
1081	"alabama,lee"
1083	"alabama,limestone"
1085	"alabama,lowndes"
1087	"alabama,macon"
1089	"alabama,madison"
1091	"alabama,marengo"
1093	"alabama,marion"
1095	"alabama,marshall"
1097	"alabama,mobile"
1099	"alabama,monroe"
1101	"alabama,montgomery"
1103	"alabama,morgan"
1105	"alabama,perry"
1107	"alabama,pickens"
1109	"alabama,pike"
1111	"alabama,randolph"
1113	"alabama,russell"
1115	"alabama,st clair"
1117	"alabama,shelby"
1119	"alabama,sumter"
1121	"alabama,talladega"
1123	"alabama,tallapoosa"
1125	"alabama,tuscaloosa"
1127	"alabama,walker"
1129	"alabama,washington"
1131	"alabama,wilcox"
1133	"alabama,winston"
4001	"arizona,apache"
4003	"arizona,cochise"
4005	"arizona,coconino"
4007	"arizona,gila"
4009	"arizona,graham"
4011	"arizona,greenlee"
4012	"arizona,la paz"
4013	"arizona,maricopa"
4015	"arizona,mohave"
4017	"arizona,navajo"
4019	"arizona,pima"
4021	"arizona,pinal"
4023	"arizona,santa cruz"
4025	"arizona,yavapai"
4027	"arizona,yuma"
5001	"arkansas,arkansas"
5003	"arkansas,ashley"
5005	"arkansas,baxter"
5007	"arkansas,benton"
5009	"arkansas,boone"
5011	"arkansas,bradley"
5013	"arkansas,calhoun"
5015	"arkansas,carroll"
5017	"arkansas,chicot"
5019	"arkansas,clark"
5021	"arkansas,clay"
5023	"arkansas,cleburne"
5025	"arkansas,cleveland"
5027	"arkansas,columbia"
5029	"arkansas,conway"
5031	"arkansas,craighead"
5033	"arkansas,crawford"
5035	"arkansas,crittenden"
5037	"arkansas,cross"
5039	"arkansas,dallas"
5041	"arkansas,desha"
5043	"arkansas,drew"
5045	"arkansas,faulkner"
5047	"arkansas,franklin"
5049	"arkansas,fulton"
5051	"arkansas,garland"
5053	"arkansas,grant"
5055	"arkansas,greene"
5057	"arkansas,hempstead"
5059	"arkansas,hot spring"
5061	"arkansas,howard"
5063	"arkansas,independence"
5065	"arkansas,izard"
5067	"arkansas,jackson"
5069	"arkansas,jefferson"
5071	"arkansas,johnson"
5073	"arkansas,lafayette"
5075	"arkansas,lawrence"
5077	"arkansas,lee"
5079	"arkansas,lincoln"
5081	"arkansas,little river"
5083	"arkansas,logan"
5085	"arkansas,lonoke"
5087	"arkansas,madison"
5089	"arkansas,marion"
5091	"arkansas,miller"
5093	"arkansas,mississippi"
5095	"arkansas,monroe"
5097	"arkansas,montgomery"
5099	"arkansas,nevada"
5101	"arkansas,newton"
5103	"arkansas,ouachita"
5105	"arkansas,perry"
5107	"arkansas,phillips"
5109	"arkansas,pike"
5111	"arkansas,poinsett"
5113	"arkansas,polk"
5115	"arkansas,pope"
5117	"arkansas,prairie"
5119	"arkansas,pulaski"
5121	"arkansas,randolph"
5123	"arkansas,st francis"
5125	"arkansas,saline"
5127	"arkansas,scott"
5129	"arkansas,searcy"
5131	"arkansas,sebastian"
5133	"arkansas,sevier"
5135	"arkansas,sharp"
5137	"arkansas,stone"
5139	"arkansas,union"
5141	"arkansas,van buren"
5143	"arkansas,washington"
5145	"arkansas,white"
5147	"arkansas,woodruff"
5149	"arkansas,yell"
6001	"california,alameda"
6003	"california,alpine"
6005	"california,amador"
6007	"california,butte"
6009	"california,calaveras"
6011	"california,colusa"
6013	"california,contra costa"
6015	"california,del norte"
6017	"california,el dorado"
6019	"california,fresno"
6021	"california,glenn"
6023	"california,humboldt"
6025	"california,imperial"
6027	"california,inyo"
6029	"california,kern"
6031	"california,kings"
6033	"california,lake"
6035	"california,lassen"
6037	"california,los angeles"
6039	"california,madera"
6041	"california,marin"
6043	"california,mariposa"
6045	"california,mendocino"
6047	"california,merced"
6049	"california,modoc"
6051	"california,mono"
6053	"california,monterey"
6055	"california,napa"
6057	"california,nevada"
6059	"california,orange"
6061	"california,placer"
6063	"california,plumas"
6065	"california,riverside"
6067	"california,sacramento"
6069	"california,san benito"
6071	"california,san bernardino"
6073	"california,san diego"
6075	"california,san francisco"
6077	"california,san joaquin"
6079	"california,san luis obispo"
6081	"california,san mateo"
6083	"california,santa barbara"
6085	"california,santa clara"
6087	"california,santa cruz"
6089	"california,shasta"
6091	"california,sierra"
6093	"california,siskiyou"
6095	"california,solano"
6097	"california,sonoma"
6099	"california,stanislaus"
6101	"california,sutter"
6103	"california,tehama"
6105	"california,trinity"
6107	"california,tulare"
6109	"california,tuolumne"
6111	"california,ventura"
6113	"california,yolo"
6115	"california,yuba"
8001	"colorado,adams"
8003	"colorado,alamosa"
8005	"colorado,arapahoe"
8007	"colorado,archuleta"
8009	"colorado,baca"
8011	"colorado,bent"
8013	"colorado,boulder"
8014	"colorado,broomfield"
8015	"colorado,chaffee"
8017	"colorado,cheyenne"
8019	"colorado,clear creek"
8021	"colorado,conejos"
8023	"colorado,costilla"
8025	"colorado,crowley"
8027	"colorado,custer"
8029	"colorado,delta"
8031	"colorado,denver"
8033	"colorado,dolores"
8035	"colorado,douglas"
8037	"colorado,eagle"
8039	"colorado,elbert"
8041	"colorado,el paso"
8043	"colorado,fremont"
8045	"colorado,garfield"
8047	"colorado,gilpin"
8049	"colorado,grand"
8051	"colorado,gunnison"
8053	"colorado,hinsdale"
8055	"colorado,huerfano"
8057	"colorado,jackson"
8059	"colorado,jefferson"
8061	"colorado,kiowa"
8063	"colorado,kit carson"
8065	"colorado,lake"
8067	"colorado,la plata"
8069	"colorado,larimer"
8071	"colorado,las animas"
8073	"colorado,lincoln"
8075	"colorado,logan"
8077	"colorado,mesa"
8079	"colorado,mineral"
8081	"colorado,moffat"
8083	"colorado,montezuma"
8085	"colorado,montrose"
8087	"colorado,morgan"
8089	"colorado,otero"
8091	"colorado,ouray"
8093	"colorado,park"
8095	"colorado,phillips"
8097	"colorado,pitkin"
8099	"colorado,prowers"
8101	"colorado,pueblo"
8103	"colorado,rio blanco"
8105	"colorado,rio grande"
8107	"colorado,routt"
8109	"colorado,saguache"
8111	"colorado,san juan"
8113	"colorado,san miguel"
8115	"colorado,sedgwick"
8117	"colorado,summit"
8119	"colorado,teller"
8121	"colorado,washington"
8123	"colorado,weld"
8125	"colorado,yuma"
9001	"connecticut,fairfield"
9003	"connecticut,hartford"
9005	"connecticut,litchfield"
9007	"connecticut,middlesex"
9009	"connecticut,new haven"
9011	"connecticut,new london"
9013	"connecticut,tolland"
9015	"connecticut,windham"
10001	"delaware,kent"
10003	"delaware,new castle"
10005	"delaware,sussex"
11001	"district of columbia,washington"
12001	"florida,alachua"
12003	"florida,baker"
12005	"florida,bay"
12007	"florida,bradford"
12009	"florida,brevard"
12011	"florida,broward"
12013	"florida,calhoun"
12015	"florida,charlotte"
12017	"florida,citrus"
12019	"florida,clay"
12021	"florida,collier"
12023	"florida,columbia"
12086	"florida,miami-dade"
12027	"florida,de soto"
12029	"florida,dixie"
12031	"florida,duval"
12033	"florida,escambia"
12035	"florida,flagler"
12037	"florida,franklin"
12039	"florida,gadsden"
12041	"florida,gilchrist"
12043	"florida,glades"
12045	"florida,gulf"
12047	"florida,hamilton"
12049	"florida,hardee"
12051	"florida,hendry"
12053	"florida,hernando"
12055	"florida,highlands"
12057	"florida,hillsborough"
12059	"florida,holmes"
12061	"florida,indian river"
12063	"florida,jackson"
12065	"florida,jefferson"
12067	"florida,lafayette"
12069	"florida,lake"
12071	"florida,lee"
12073	"florida,leon"
12075	"florida,levy"
12077	"florida,liberty"
12079	"florida,madison"
12081	"florida,manatee"
12083	"florida,marion"
12085	"florida,martin"
12087	"florida,monroe"
12089	"florida,nassau"
12091	"florida,okaloosa:main"
12091	"florida,okaloosa:spit"
12093	"florida,okeechobee"
12095	"florida,orange"
12097	"florida,osceola"
12099	"florida,palm beach"
12101	"florida,pasco"
12103	"florida,pinellas"
12105	"florida,polk"
12107	"florida,putnam"
12109	"florida,st johns"
12111	"florida,st lucie"
12113	"florida,santa rosa"
12115	"florida,sarasota"
12117	"florida,seminole"
12119	"florida,sumter"
12121	"florida,suwannee"
12123	"florida,taylor"
12125	"florida,union"
12127	"florida,volusia"
12129	"florida,wakulla"
12131	"florida,walton"
12133	"florida,washington"
13001	"georgia,appling"
13003	"georgia,atkinson"
13005	"georgia,bacon"
13007	"georgia,baker"
13009	"georgia,baldwin"
13011	"georgia,banks"
13013	"georgia,barrow"
13015	"georgia,bartow"
13017	"georgia,ben hill"
13019	"georgia,berrien"
13021	"georgia,bibb"
13023	"georgia,bleckley"
13025	"georgia,brantley"
13027	"georgia,brooks"
13029	"georgia,bryan"
13031	"georgia,bulloch"
13033	"georgia,burke"
13035	"georgia,butts"
13037	"georgia,calhoun"
13039	"georgia,camden"
13043	"georgia,candler"
13045	"georgia,carroll"
13047	"georgia,catoosa"
13049	"georgia,charlton"
13051	"georgia,chatham"
13053	"georgia,chattahoochee"
13055	"georgia,chattooga"
13057	"georgia,cherokee"
13059	"georgia,clarke"
13061	"georgia,clay"
13063	"georgia,clayton"
13065	"georgia,clinch"
13067	"georgia,cobb"
13069	"georgia,coffee"
13071	"georgia,colquitt"
13073	"georgia,columbia"
13075	"georgia,cook"
13077	"georgia,coweta"
13079	"georgia,crawford"
13081	"georgia,crisp"
13083	"georgia,dade"
13085	"georgia,dawson"
13087	"georgia,decatur"
13089	"georgia,de kalb"
13091	"georgia,dodge"
13093	"georgia,dooly"
13095	"georgia,dougherty"
13097	"georgia,douglas"
13099	"georgia,early"
13101	"georgia,echols"
13103	"georgia,effingham"
13105	"georgia,elbert"
13107	"georgia,emanuel"
13109	"georgia,evans"
13111	"georgia,fannin"
13113	"georgia,fayette"
13115	"georgia,floyd"
13117	"georgia,forsyth"
13119	"georgia,franklin"
13121	"georgia,fulton"
13123	"georgia,gilmer"
13125	"georgia,glascock"
13127	"georgia,glynn"
13129	"georgia,gordon"
13131	"georgia,grady"
13133	"georgia,greene"
13135	"georgia,gwinnett"
13137	"georgia,habersham"
13139	"georgia,hall"
13141	"georgia,hancock"
13143	"georgia,haralson"
13145	"georgia,harris"
13147	"georgia,hart"
13149	"georgia,heard"
13151	"georgia,henry"
13153	"georgia,houston"
13155	"georgia,irwin"
13157	"georgia,jackson"
13159	"georgia,jasper"
13161	"georgia,jeff davis"
13163	"georgia,jefferson"
13165	"georgia,jenkins"
13167	"georgia,johnson"
13169	"georgia,jones"
13171	"georgia,lamar"
13173	"georgia,lanier"
13175	"georgia,laurens"
13177	"georgia,lee"
13179	"georgia,liberty"
13181	"georgia,lincoln"
13183	"georgia,long"
13185	"georgia,lowndes"
13187	"georgia,lumpkin"
13189	"georgia,mcduffie"
13191	"georgia,mcintosh"
13193	"georgia,macon"
13195	"georgia,madison"
13197	"georgia,marion"
13199	"georgia,meriwether"
13201	"georgia,miller"
13205	"georgia,mitchell"
13207	"georgia,monroe"
13209	"georgia,montgomery"
13211	"georgia,morgan"
13213	"georgia,murray"
13215	"georgia,muscogee"
13217	"georgia,newton"
13219	"georgia,oconee"
13221	"georgia,oglethorpe"
13223	"georgia,paulding"
13225	"georgia,peach"
13227	"georgia,pickens"
13229	"georgia,pierce"
13231	"georgia,pike"
13233	"georgia,polk"
13235	"georgia,pulaski"
13237	"georgia,putnam"
13239	"georgia,quitman"
13241	"georgia,rabun"
13243	"georgia,randolph"
13245	"georgia,richmond"
13247	"georgia,rockdale"
13249	"georgia,schley"
13251	"georgia,screven"
13253	"georgia,seminole"
13255	"georgia,spalding"
13257	"georgia,stephens"
13259	"georgia,stewart"
13261	"georgia,sumter"
13263	"georgia,talbot"
13265	"georgia,taliaferro"
13267	"georgia,tattnall"
13269	"georgia,taylor"
13271	"georgia,telfair"
13273	"georgia,terrell"
13275	"georgia,thomas"
13277	"georgia,tift"
13279	"georgia,toombs"
13281	"georgia,towns"
13283	"georgia,treutlen"
13285	"georgia,troup"
13287	"georgia,turner"
13289	"georgia,twiggs"
13291	"georgia,union"
13293	"georgia,upson"
13295	"georgia,walker"
13297	"georgia,walton"
13299	"georgia,ware"
13301	"georgia,warren"
13303	"georgia,washington"
13305	"georgia,wayne"
13307	"georgia,webster"
13309	"georgia,wheeler"
13311	"georgia,white"
13313	"georgia,whitfield"
13315	"georgia,wilcox"
13317	"georgia,wilkes"
13319	"georgia,wilkinson"
13321	"georgia,worth"
16001	"idaho,ada"
16003	"idaho,adams"
16005	"idaho,bannock"
16007	"idaho,bear lake"
16009	"idaho,benewah"
16011	"idaho,bingham"
16013	"idaho,blaine"
16015	"idaho,boise"
16017	"idaho,bonner"
16019	"idaho,bonneville"
16021	"idaho,boundary"
16023	"idaho,butte"
16025	"idaho,camas"
16027	"idaho,canyon"
16029	"idaho,caribou"
16031	"idaho,cassia"
16033	"idaho,clark"
16035	"idaho,clearwater"
16037	"idaho,custer"
16039	"idaho,elmore"
16041	"idaho,franklin"
16043	"idaho,fremont"
16045	"idaho,gem"
16047	"idaho,gooding"
16049	"idaho,idaho"
16051	"idaho,jefferson"
16053	"idaho,jerome"
16055	"idaho,kootenai"
16057	"idaho,latah"
16059	"idaho,lemhi"
16061	"idaho,lewis"
16063	"idaho,lincoln"
16065	"idaho,madison"
16067	"idaho,minidoka"
16069	"idaho,nez perce"
16071	"idaho,oneida"
16073	"idaho,owyhee"
16075	"idaho,payette"
16077	"idaho,power"
16079	"idaho,shoshone"
16081	"idaho,teton"
16083	"idaho,twin falls"
16085	"idaho,valley"
16087	"idaho,washington"
17001	"illinois,adams"
17003	"illinois,alexander"
17005	"illinois,bond"
17007	"illinois,boone"
17009	"illinois,brown"
17011	"illinois,bureau"
17013	"illinois,calhoun"
17015	"illinois,carroll"
17017	"illinois,cass"
17019	"illinois,champaign"
17021	"illinois,christian"
17023	"illinois,clark"
17025	"illinois,clay"
17027	"illinois,clinton"
17029	"illinois,coles"
17031	"illinois,cook"
17033	"illinois,crawford"
17035	"illinois,cumberland"
17037	"illinois,de kalb"
17039	"illinois,de witt"
17041	"illinois,douglas"
17043	"illinois,du page"
17045	"illinois,edgar"
17047	"illinois,edwards"
17049	"illinois,effingham"
17051	"illinois,fayette"
17053	"illinois,ford"
17055	"illinois,franklin"
17057	"illinois,fulton"
17059	"illinois,gallatin"
17061	"illinois,greene"
17063	"illinois,grundy"
17065	"illinois,hamilton"
