"fips"	"pop"	"unemp"
1001	23288	9.7
1003	81706	9.1
1005	9703	13.4
1007	8475	12.1
1009	25306	9.9
1011	3527	16.4
1013	8884	16.7
1015	52055	10.8
1017	13726	18.6
1019	11583	11.8
1021	18697	9.9
1023	4925	12.7
1025	10300	17
1027	5474	15.9
1029	6284	10.4
1031	19913	8.5
1033	24202	11.4
1035	4835	19.5
1037	4510	14
1039	16310	10.1
1041	6280	9.7
1043	37658	9.6
1045	19281	9.3
1047	15477	21.1
1049	29727	14.3
1051	33928	9
1053	14439	12.9
1055	44279	10.7
1057	6744	12.8
1059	12754	12.3
1061	10930	10
1063	3250	14.7
1065	6821	12.7
1067	6993	9.9
1069	44214	8.9
1071	25222	11.8
1073	299680	10.7
1075	5478	14.8
1077	40952	10.5
1079	15496	13.6
1081	61392	8.6
1083	35769	9.3
1085	4814	18.5
1087	8883	11.4
1089	160077	7.5
1091	7805	14.8
1093	12146	15.2
1095	40020	9.2
1097	181879	11.1
1099	8419	18.7
1101	101133	10.2
1103	53923	10.4
1105	3616	19.8
1107	7723	13
1109	15346	8.7
1111	8827	15.1
1113	20860	12.6
1115	34452	10.7
1117	92888	7.6
1119	4562	13.9
1121	37033	13.6
1123	17664	13.7
1125	85253	9
1127	27883	11.9
1129	6626	15.1
1131	3547	25.6
1133	9094	17.5
2013	1148	10.1
2016	2903	8.4
2020	153264	7
2050	7061	14.8
2060	1159	3.6
2068	2300	3.4
2070	2634	8.4
2090	45632	6.9
2100	1588	6.2
2110	18615	5.7
2122	26463	9.7
2130	8781	6.1
2150	6423	6.6
2164	1372	5.9
2170	40287	8.8
2180	3877	12.1
2185	5119	5.7
2188	2805	13.2
2201	2507	13.6
2220	4707	5.9
2232	2278	7.3
2240	3673	8.1
2261	5789	6.4
2270	2807	20.4
2280	2836	9.8
2282	350	6.3
2290	2790	13.6
4001	22797	14.8
4003	62754	7.4
4005	74896	7.7
4007	22859	10.9
4009	14430	14.4
4011	4450	21.5
4012	7812	8.9
4013	2001233	8.5
4015	92909	10.2
4017	40715	14.2
4019	489560	8.4
4021	117530	11.8
4023	18760	17.2
4025	99997	9.5
4027	89436	24.2
5001	12228	14.3
5003	9221	9.1
5005	17471	8.2
5007	105604	5.3
5009	16932	6.4
5011	4974	7.8
5013	2520	6.2
5015	14278	4.3
5017	4642	9.6
5019	11000	6.3
5021	6369	10.4
5023	11863	5.9
5025	4079	6
5027	10694	8.1
5029	10357	6.5
5031	46944	5.9
5033	28913	6.6
5035	22459	9.9
5037	8307	7.1
5039	3867	7.6
5041	5620	9.9
5043	8176	9.1
5045	55883	6
5047	8677	5.9
5049	5301	6.1
5051	43280	6.6
5053	8608	5.7
5055	19581	8.2
5057	10481	8.6
5059	15025	7.3
5061	6323	7.2
5063	16501	7.8
5065	5528	7.7
5067	7785	9.2
5069	35266	9.2
5071	11837	6.1
5073	2978	8.6
5075	7222	7.9
5077	3394	8.2
5079	4923	8.2
5081	6862	5.6
5083	10189	7.7
5085	31829	5.2
5087	7797	5.3
5089	6935	11.2
5091	19924	4.5
5093	21913	11.3
5095	3542	7.4
5097	4017	5.8
5099	4177	8.7
5101	3504	6.2
5103	11570	7.1
5105	4851	5.6
5107	8582	8.8
5109	5132	6.3
5111	11075	7.5
5113	8985	6.4
5115	29690	6.2
5117	4218	6.7
5119	192660	6
5121	7535	7.3
5123	10130	9.4
5125	49630	5.8
5127	4818	6.3
5129	3657	5.9
5131	62696	6.2
5133	7400	5.1
5135	6346	7.8
5137	4725	6.6
5139	18635	9.5
5141	6983	9.1
5143	104999	5
5145	34577	6.7
5147	3434	9.1
5149	10512	6.4
6001	768686	11.3
6003	415	15.2
6005	17958	12.1
6007	105395	12.2
6009	20999	14.3
6011	11158	14.5
6013	529871	11.2
6015	11871	11.9
6017	91244	11.2
6019	452170	14.1
6021	12591	13.8
6023	59992	10.3
6025	76893	30.1
6027	8980	9.5
6029	377391	13.9
6031	59713	13.9
6033	25886	14.7
6035	13512	11.8
6037	4923821	12.7
6039	70354	12.3
6041	134608	8
6043	9975	8.8
6045	43422	10.1
6047	106663	15.7
6049	4051	11.1
6051	7877	10.3
6053	217030	10
6055	75626	8.7
6057	49728	10.9
6059	1624855	9.4
6061	175065	11.3
6063	10213	13.9
6065	915624	14.7
6067	687918	12.2
6069	24764	12.5
6071	867524	13.6
6073	1560010	10.2
6075	447099	9.7
6077	304586	15.5
6079	138449	9
6081	380819	9
6083	221571	8.5
6085	886563	11.8
6087	147934	10.2
6089	83975	14.7
6091	1542	13.7
6093	18873	13.5
6095	214355	11.5
6097	262368	9.9
6099	243184	15.3
6101	41627	15.1
6103	26219	13.7
6105	4696	15.9
6107	206315	14.9
6109	25903	12.7
6111	428779	11
6113	97523	10.9
6115	28801	17.8
8001	221638	8.1
8003	8582	5.5
8005	305320	6.9
8007	6407	6.2
8009	2756	3.4
8011	2879	5
8013	172279	5.5
8014	30023	6.6
8015	8322	5.1
8017	1385	2
8019	5668	7
8021	3663	5.1
8023	1371	8.4
8025	1984	7.6
8027	1986	5.2
8029	17164	6.6
8031	316703	7.7
8033	1092	13.2
8035	154518	5.9
8037	30469	6.2
8039	12706	6
8041	293486	7.2
8043	19057	7.7
8045	39170	5.8
8047	3397	6
8049	8934	5.8
8051	9291	4.4
8053	772	2.2
8055	3577	7.2
8057	1368	3.3
8059	303461	6.7
8061	1128	2.8
8063	4952	2.9
8065	3975	7.1
8067	30342	4.7
8069	175721	5.6
8071	9159	7
8073	3074	3.7
8075	11763	4.6
8077	83106	8.2
8079	474	5.3
8081	8843	5.6
8083	12802	6.3
8085	20954	6.9
8087	15030	4.9
8089	9035	5.8
8091	3122	4.1
8093	9554	6.1
8095	2717	2.6
8097	11339	5
8099	7186	5
8101	72663	7.5
8103	5342	3.9
8105	6919	4.8
8107	14614	6
8109	3686	7.8
8111	603	5.3
8113	5160	4.2
8115	1649	3.3
8117	15115	5.8
8119	12234	6.7
8121	3047	3.2
8123	120783	7.5
8125	7871	2.6
9001	469462	7.8
9003	458201	8.8
9005	105162	7.9
9007	93277	6.7
9009	450597	8.9
9011	149170	7.6
9013	83991	6.7
9015	63928	9
10001	71260	7.9
10003	264048	8.6
10005	91476	7.3
11001	327847	11.7
12001	132262	7.1
12003	12185	11.4
12005	89191	8.9
12007	12844	8.3
12009	269039	11.1
12011	1007323	9.8
12013	6086	8.2
12015	69026	12.7
12017	59333	12.1
12019	94372	9.8
12021	143967	13.1
12023	33518	9
12027	15100	11.7
12029	5681	12.3
12031	448078	11.2
12033	140660	9.8
12035	31293	16.2
12037	4670	7.1
12039	21300	9.6
12041	7989	10
12043	5096	10
12045	6449	9.8
12047	4952	11.3
12049	12073	12.6
12051	18302	16.8
12053	63278	13.8
12055	41883	11.6
12057	605620	11.5
12059	9342	7.2
12061	61145	15.2
12063	22680	7.2
12065	6909	8.5
12067	3181	7.2
12069	135749	12.3
12071	272069	13.9
12073	146619	7.2
12075	17331	12.1
12077	4092	5.3
12079	6983	11.7
12081	143094	12.7
12083	139149	13.3
12085	63520	11.9
12086	1232503	11.3
12087	47361	7
12089	35810	10.7
12091	96296	7.2
12093	18508	13.3
12095	604165	11.4
12097	136467	12.8
