"name"	"country.etc"	"pop"	"lat"	"long"	"capital"
"Abilene TX"	"TX"	113888	32.45	-99.74	0
"Akron OH"	"OH"	206634	41.08	-81.52	0
"Alameda CA"	"CA"	70069	37.77	-122.26	0
"Albany GA"	"GA"	75510	31.58	-84.18	0
"Albany NY"	"NY"	93576	42.67	-73.8	2
"Albany OR"	"OR"	45535	44.62	-123.09	0
"Albuquerque NM"	"NM"	494962	35.12	-106.62	0
"Alexandria LA"	"LA"	44933	31.29	-92.46	0
"Alexandria VA"	"VA"	127159	38.82	-77.09	0
"Alhambra CA"	"CA"	88857	34.08	-118.13	0
"Aliso Viejo CA"	"CA"	41975	33.57	-117.73	0
"Allen TX"	"TX"	84467	33.11	-96.67	0
"Allentown PA"	"PA"	105224	40.6	-75.48	0
"Aloha OR"	"OR"	45531	45.49	-122.87	0
"Altadena CA"	"CA"	43280	34.19	-118.13	0
"Altamonte Springs FL"	"FL"	40712	28.66	-81.4	0
"Altoona PA"	"PA"	46442	40.51	-78.4	0
"Amarillo TX"	"TX"	183295	35.2	-101.82	0
"Ames IA"	"IA"	57683	42.02	-93.63	0
"Anaheim CA"	"CA"	334909	33.84	-117.87	0
"Anchorage AK"	"AK"	279428	61.18	-149.19	0
"Anderson IN"	"IN"	57036	40.09	-85.69	0
"Andover MA"	"MA"	67715	42.65	-71.14	0
"Ann Arbor MI"	"MI"	113716	42.28	-83.73	0
"Annandale VA"	"VA"	57942	38.83	-77.21	0
"Annapolis MD"	"MD"	36300	38.98	-76.49	2
"Antioch CA"	"CA"	109485	37.99	-121.8	0
"Apple Valley CA"	"CA"	66361	34.53	-117.21	0
"Apple Valley MN"	"MN"	51609	44.75	-93.2	0
"Appleton WI"	"WI"	70090	44.27	-88.4	0
"Arcadia CA"	"CA"	57429	34.13	-118.04	0
"Arden-Arcade CA"	"CA"	99968	38.6	-121.38	0
"Arlington Heights IL"	"IL"	74763	42.09	-87.98	0
"Arlington MA"	"MA"	41246	42.42	-71.16	0
"Arlington TX"	"TX"	374729	32.69	-97.13	0
"Arlington VA"	"VA"	184603	38.88	-77.1	0
"Arvada CO"	"CO"	101633	39.82	-105.11	0
"Asheville NC"	"NC"	68654	35.57	-82.55	0
"Aspen Hill MD"	"MD"	54029	39.09	-77.08	0
"Athens-Clarke GA"	"GA"	103618	33.95	-83.39	0
"Atlanta GA"	"GA"	424096	33.76	-84.42	2
"Atlantic City NJ"	"NJ"	40529	39.38	-74.45	0
