"name"	"lat"	"lon"	"code"	"country"	"pop"	"date"	"capital"
"Sant Julia de Loria"	42.46372	1.49129	"PPLA"	"AD"	8022	"2013-11-23"	0
"Ordino"	42.55623	1.53319	"PPLA"	"AD"	3066	"2009-12-11"	0
"les Escaldes"	42.50729	1.53414	"PPLA"	"AD"	15853	"2008-10-15"	0
"la Massana"	42.54499	1.51483	"PPLA"	"AD"	7211	"2008-10-15"	0
"Encamp"	42.53474	1.58014	"PPLA"	"AD"	11223	"2012-04-13"	0
"Canillo"	42.5676	1.59756	"PPLA"	"AD"	3292	"2012-12-24"	0
"Andorra la Vella"	42.50779	1.52109	"PPLC"	"AD"	20430	"2010-05-30"	1
"Umm al Qaywayn"	25.56473	55.55517	"PPLA"	"AE"	44411	"2014-10-07"	0
"Ras al-Khaimah"	25.78953	55.9432	"PPLA"	"AE"	115949	"2015-12-05"	0
"Muzayri`"	23.14355	53.7881	"PPL"	"AE"	10000	"2013-10-24"	0
"Khawr Fakkan"	25.33132	56.34199	"PPL"	"AE"	33575	"2013-10-25"	0
"Dubai"	25.0657	55.17128	"PPLA"	"AE"	1137347	"2014-12-02"	0
"Dibba Al-Fujairah"	25.59246	56.26176	"PPL"	"AE"	30000	"2014-08-12"	0
"Dibba Al-Hisn"	25.61955	56.27291	"PPL"	"AE"	26395	"2014-04-21"	0
"Sharjah"	25.33737	55.41206	"PPLA"	"AE"	543733	"2013-03-05"	0
"Ar Ruways"	24.11028	52.73056	"PPL"	"AE"	16000	"2012-11-03"	0
"Al Fujayrah"	25.11641	56.34141	"PPLA"	"AE"	62415	"2016-12-18"	0
"Al Ain"	24.19167	55.76056	"PPL"	"AE"	408733	"2013-03-17"	0
"Ajman"	25.41111	55.43504	"PPLA"	"AE"	226172	"2013-03-24"	0
"Adh Dhayd"	25.28812	55.88157	"PPL"	"AE"	24716	"2012-01-18"	0
"Abu Dhabi"	24.46667	54.36667	"PPLC"	"AE"	603492	"2016-06-03"	1
"Kuhsan"	34.65389	61.19778	"PPLA2"	"AF"	12087	"2012-05-05"	0
"Tukzar"	35.94831	66.42132	"PPLA2"	"AF"	12021	"2012-02-28"	0
"Zindah Jan"	34.34264	61.74675	"PPLA2"	"AF"	10104	"2012-02-28"	0
"Zarghun Shahr"	32.84734	68.44573	"PPL"	"AF"	13737	"2012-01-16"	0
"Zarah Sharan"	33.14641	68.79213	"PPL"	"AF"	7366	"2014-02-06"	0
"Zaranj"	30.95962	61.86037	"PPLA"	"AF"	49851	"2013-10-06"	0
"Yangi Qal`ah"	37.46572	69.61131	"PPL"	"AF"	6541	"2012-01-16"	0
"Tir Pul"	34.59431	61.26895	"PPL"	"AF"	6979	"2012-01-16"	0
"Tarinkot"	32.62998	65.87806	"PPLA"	"AF"	10000	"2013-08-02"	0
"Taloqan"	36.73605	69.53451	"PPLA"	"AF"	64256	"2013-05-11"	0
"Tagaw-Bay"	35.69941	66.06164	"PPL"	"AF"	9096	"2012-01-16"	0
"Tagab"	34.85501	69.64917	"PPL"	"AF"	6400	"2012-01-16"	0
"Shindand"	33.30294	62.1474	"PPLA2"	"AF"	29264	"2017-02-16"	0
"Shibirghan"	36.66757	65.7529	"PPLA"	"AF"	55641	"2013-06-04"	0
"Shahrak"	34.10737	64.3052	"PPLA2"	"AF"	15967	"2012-02-28"	0
"Sidqabad"	35.02298	69.35112	"PPLA"	"AF"	7407	"2013-08-02"	0
"Sar-e Pul"	36.21544	65.93249	"PPLA"	"AF"	52121	"2012-01-16"	0
"Sangin"	32.07275	64.8359	"PPLA2"	"AF"	13579	"2012-02-28"	0
"Sang-e Charak"	35.84972	66.43694	"PPL"	"AF"	15377	"2016-03-09"	0
"Aibak"	36.26468	68.01551	"PPLA"	"AF"	47823	"2012-01-16"	0
"Rudbar"	30.15	62.6	"PPL"	"AF"	11034	"2006-01-17"	0
"Rustaq"	37.12604	69.83045	"PPLA2"	"AF"	25636	"2012-02-28"	0
"Qarqin"	37.41853	66.04358	"PPLA2"	"AF"	15018	"2012-02-28"	0
"Qarchi Gak"	37.03999	66.78891	"PPL"	"AF"	8942	"2012-01-16"	0
"Qarawul"	37.21959	68.7802	"PPL"	"AF"	24544	"2013-09-05"	0
"Qarah Bagh"	34.94023	61.77589	"PPLA2"	"AF"	12412	"2012-02-28"	0
"Qala i Naw"	34.98735	63.12891	"PPLA"	"AF"	9000	"2013-10-26"	0
"Qal`ah-ye Shahr"	35.54729	65.5676	"PPL"	"AF"	7756	"2012-01-16"	0
"Qalat"	32.10575	66.90833	"PPLA"	"AF"	12191	"2012-01-16"	0
"Parun"	35.42064	70.92261	"PPLA"	"AF"	1000	"2014-01-08"	0
"Pul-e Khumri"	35.94458	68.71512	"PPLA"	"AF"	56369	"2012-01-16"	0
"Pul-e `Alam"	33.99529	69.02274	"PPLA"	"AF"	13247	"2012-01-16"	0
"Panjab"	34.38795	67.02327	"PPLA2"	"AF"	13471	"2012-02-28"	0
"Paghman"	34.58787	68.95091	"PPL"	"AF"	49157	"2012-08-04"	0
"Uruzgan"	32.92775	66.63253	"PPL"	"AF"	13388	"2017-02-15"	0
"Nili"	33.72178	66.13023	"PPLA"	"AF"	0	"2014-01-15"	0
