"name"	"country.etc"	"pop"	"lat"	"long"	"capital"
"'Abasan al-Jadidah"	"Palestine"	5629	31.31	34.34	0
"'Abasan al-Kabirah"	"Palestine"	18999	31.32	34.35	0
"'Abdul Hakim"	"Pakistan"	47788	30.55	72.11	0
"'Abdullah-as-Salam"	"Kuwait"	21817	29.36	47.98	0
"'Abud"	"Palestine"	2456	32.03	35.07	0
"'Abwein"	"Palestine"	3434	32.03	35.2	0
"'Adadlay"	"Somalia"	9198	9.77	44.65	0
"'Adale"	"Somalia"	5492	2.75	46.3	0
"'Afak"	"Iraq"	22706	32.07	45.26	0
"'Afif"	"Saudi Arabia"	41731	23.92	42.93	0
"'Afrin"	"Syria"	51139	36.51	36.87	0
"'Afula"	"Israel"	39151	32.62	35.29	0
"'Ajabshir"	"Iran"	30766	37.48	45.91	0
"'Ajjah"	"Palestine"	5143	32.37	35.2	0
"'Ajlun"	"Jordan"	8629	32.34	35.74	0
"'Ajman"	"United Arab Emirates"	238605	25.42	55.43	0
"'Akko"	"Israel"	45606	32.94	35.08	0
"'Al'al"	"Jordan"	4526	32.63	35.9	0
"'Alayh"	"Lebanon"	27523	33.81	35.61	0
"'Alem Maya"	"Ethiopia"	11513	9.4	42.01	0
"'Ali"	"Bahrain"	57024	26.15	50.53	0
"'Ali Hayl"	"Afghanistan"	12834	33.94	69.7	0
"'Ali Sabih"	"Djibouti"	40715	11.16	42.71	0
"'Ali al Garbi"	"Iraq"	20370	32.46	46.68	0
"'Alula"	"Somalia"	5158	11.97	50.76	0
"'Amman"	"Jordan"	1303197	31.95	35.93	1
"'Amran"	"Yemen"	35989	15.66	43.94	0
"'Amuda"	"Syria"	45980	37.1	40.93	0
"'Anabta"	"Palestine"	7311	32.31	35.12	0
"'Anah"	"Iraq"	20297	34.47	41.93	0
"'Anata"	"Palestine"	9149	31.81	35.28	0
"'Anin"	"Palestine"	3717	32.5	35.17	0
"'Anjarah"	"Jordan"	17977	32.31	35.75	0
"'Ank"	"Saudi Arabia"	21934	26.53	50.02	0
"'Anzah"	"Palestine"	2006	32.37	35.22	0
"'Aqbah Jabbar"	"Palestine"	6337	31.83	35.45	0
"'Aqqaba"	"Palestine"	6064	32.35	35.35	0
"'Aqraba"	"Palestine"	7925	32.15	35.38	0
"'Aqrah"	"Iraq"	35844	36.76	43.91	0
"'Ar'ara"	"Israel"	15841	32.49	35.1	0
"'Arad"	"Israel"	22757	31.26	35.22	0
"'Arrabah"	"Palestine"	9983	32.43	35.21	0
"'Arrabe"	"Israel"	20316	32.85	35.33	0
"'Arranah"	"Palestine"	2144	32.5	35.32	0
"'Arurah"	"Palestine"	2966	32.04	35.17	0
"'Asirah al-Qibliyah"	"Palestine"	2284	32.18	35.21	0
"'Asirah as-Samaliyah"	"Palestine"	7754	32.25	35.27	0
"'Askar"	"Palestine"	12694	32.22	35.28	0
"'Ataq"	"Yemen"	2982	14.55	46.88	0
"'Atarah"	"Palestine"	2347	32	35.21	0
"'Atbarah"	"Sudan"	109734	17.71	33.98	0
"'Atlit"	"Israel"	4686	32.68	34.93	0
"'Attil"	"Palestine"	10389	32.37	35.07	0
"'Awarta"	"Palestine"	5808	32.17	35.28	0
"'Awsajah"	"Tunisia"	3807	37.13	10.1	0
"'Aydah"	"Palestine"	3258	31.73	35.2	0
"'Ayn 'Azl"	"Algeria"	45884	35.85	5.5	0
"'Ayn Abid"	"Algeria"	30348	36.23	6.94	0
"'Ayn Arnat"	"Algeria"	36553	36.19	5.31	0
"'Ayn Binyan"	"Algeria"	30870	36.8	2.92	0
"'Ayn Bissam"	"Algeria"	30063	36.29	3.67	0
"'Ayn Biya"	"Algeria"	38658	35.82	-0.29	0
"'Ayn Bu Sif"	"Algeria"	12131	35.9	3.15	0
"'Ayn Dahab"	"Algeria"	37664	34.85	1.55	0
"'Ayn Darahim"	"Tunisia"	7136	36.78	8.69	0
"'Ayn Fakrun"	"Algeria"	71763	35.98	6.87	0
"'Ayn Ibn Fuhayd"	"Saudi Arabia"	5239	26.78	44.22	0
"'Ayn Jalulah"	"Tunisia"	1967	35.8	9.8	0
"'Ayn Janna"	"Jordan"	9773	32.33	35.77	0
"'Ayn Kirsah"	"Algeria"	33849	35.93	6.7	0
"'Ayn Malilah"	"Algeria"	72889	36.04	6.57	0
"'Ayn Maran"	"Algeria"	35821	36.15	0.98	0
"'Ayn Qazzam"	"Algeria"	66455	19.53	5.69	0
"'Ayn Salah"	"Algeria"	51599	27.2	2.47	0
"'Ayn Samara"	"Algeria"	29919	36.27	6.5	0
"'Ayn Tadalas"	"Algeria"	22908	35.94	0.37	0
"'Ayn Tayah"	"Algeria"	21918	36.8	3.29	0
"'Ayn Timusanat"	"Algeria"	57621	35.3	-1.15	0
"'Ayn Wilman"	"Algeria"	71132	35.93	5.3	0
"'Ayn Wissarah"	"Algeria"	124725	35.46	2.9	0
"'Ayn Yabrud"	"Palestine"	3554	31.95	35.25	0
"'Ayn ad-Daflah"	"Algeria"	50202	36.27	1.96	0
"'Ayn al-Basa"	"Jordan"	27707	32.07	35.83	0
"'Ayn al-Bayda"	"Algeria"	107946	35.81	7.39	0
"'Ayn as-Safra"	"Algeria"	66225	32.76	-0.58	0
"'Ayn at-Tutah"	"Algeria"	75425	35.39	5.89	0
"'Ayn-al-'Arab"	"Syria"	52115	36.89	38.37	0
"'Ayn-al-Bard"	"Algeria"	16906	35.35	-0.52	0
"'Ayn-al-Habira"	"Algeria"	44736	36.33	5.48	0
"'Ayn-al-Hajal"	"Algeria"	44433	35.69	3.87	0
"'Ayn-al-Hajar"	"Algeria"	13399	34.77	0.15	0
"'Ayn-al-Hammam"	"Algeria"	28560	36.57	4.31	0
"'Ayn-al-Ibl"	"Algeria"	34628	34.35	3.21	0
"'Ayn-al-Milh"	"Algeria"	41897	34.85	4.16	0
"'Ayn-at-Turk"	"Algeria"	46996	35.74	-0.77	0
"'Aynabus"	"Palestine"	2219	32.15	35.25	0
"'Ayun"	"Mauritania"	22521	16.66	-9.62	0
"'Ayy"	"Jordan"	7454	31.13	35.64	0
"'Azazgah"	"Algeria"	41672	36.75	4.37	0
"'Azmut"	"Palestine"	2722	32.21	35.32	0
"'Azzabah"	"Algeria"	78492	36.75	7.1	0
"'Azzun"	"Palestine"	8255	32.17	35.06	0
"'Eilabun"	"Israel"	4296	32.83	35.4	0
"'Ein Mahel"	"Israel"	11014	32.72	35.35	0
"'Ein Qiniyye"	"Israel"	2101	31.93	35.15	0
"'Ek"	"Somalia"	4411	9	45.36	0
"'Elbur"	"Somalia"	9211	4.69	46.62	0
"'Eldere"	"Somalia"	27093	3.85	47.18	0
"'Erigabo"	"Somalia"	34530	10.63	47.36	0
"'Ibri"	"Oman"	103776	23.25	56.5	0
"'Illar"	"Palestine"	6874	32.37	35.11	0
"'Ilut"	"Israel"	6536	32.72	35.25	0
"'Immanu'el"	"Israel"	2604	32.15	35.13	0
"'Inbah"	"Jordan"	6806	32.48	35.76	0
"'Ir Hahamisha"	"Israel"	34981	32.95	35.16	0
"'Irbin"	"Syria"	42929	33.53	36.37	0
"'Irjan"	"Jordan"	5157	32.4	35.73	0
"'Irqah"	"Saudi Arabia"	11359	24.69	46.6	0
"'Isa"	"Bahrain"	38319	26.17	50.55	0
"'Izbat Bayt Hanun"	"Palestine"	7374	31.55	35.07	0
"'Ofra"	"Israel"	2719	31.92	35.23	0
